Автор,Оценка,Продавец,Фото,Лайки,Дизлайки,Реакции,Рейтинг,Текст,Час,День,Месяц,Год,Наличие эмодзи,Количество_!,Длина_Текста,sentiment_anger,sentiment_enthusiasm,sentiment_fear,sentiment_happiness,sentiment_neutral,sentiment_sadness,neutral,negative,positive,skip,speech
1,5,1,1,1,0,1,1,"цена не нашел Базовый ссд на сата разъеме. скорости неплохие (тут уже в лимит по сата интерфейсу упирается). Проработал уже несколько дней без сбоев. Объем 240 - чситаю что на наше время это минимум, а кто покупает 120ки не знаю зачем. Вцелом покупкой доволен, для апгрейда системы под системный диск если у вас вдруг hdd до сих пор - подходит",7,25,2,2024,0,0,4,False,False,False,False,True,False,0.62,0.22,0.07,0.17,0.0
1,5,1,0,0,1,1,-1,"Отличный зарекомендовавший себя бюджетный ССД, объем . не обнаружил Если вам надоело зависание вашего старого  персонального компьютера , вам в первую очередь необходимо переустановить виндовс с харда на ССД диск . Данный бюджетный ССД как никак лучше справляется с данной задачей. Так что рекомендую. В ходе сравнения могу заметить что магазинный вариант КингСпега лучше китайского заказанного аналога . А с учётом бонусов разницы нет .",20,19,2,2024,0,0,5,False,False,False,False,True,False,0.56,0.22,0.06,0.09,0.02
1,5,1,0,1,2,3,-1,"Отличное соотношение цена-качество, высокая скорость работы, твердотельный Нет Приобрел накопитель для установки на него операционной системы своего компьютера с целью ускорения его работы. Согласно характеристикам диска запись и чтение достаточно высокие для диска данного ценового сегмента, что и подтвердилось на практике - компьютер стал намного быстрее загружаться. Со скидкой мегамаркета получилась очень выгодная цена.",19,15,1,2024,0,0,5,False,False,False,False,True,False,0.37,0.13,0.28,0.07,0.03
1,5,1,1,0,1,1,-1,"за свои деньги нормальный ссд быстро падает производительность для апгрейда старого ноутбука или системного блока подходит очень хорошо или как временное решение. для большего он не годится, если нужен ссд для основных задач, то лучше взять, что-нибудь качественнее, но оно будет хорошо так в цене увеличиваться",10,9,5,2024,0,0,4,False,False,False,False,True,False,0.3,0.29,0.1,0.15,0.01
0,5,1,0,0,2,2,-2,  отлИЧНо оТлИЧНО ОТЛИчНо Отлично отлИчНО отлИЧНо оТлИЧно оТЛичНО отЛИчНО ОтлиЧНо ОтЛиЧнО оТЛичнО отлИчНо отлиЧно ОтЛИчНо отличНо оТличНО отЛиЧно оТлИЧно отЛично ОтлИчНо оТЛИчно ОТЛично ОТЛичНо ОтЛиЧнО ОТЛИчНО ОтЛиЧНо ОтЛиЧНО ОтлИЧНО отлиЧнО ОтЛИчНО отЛИчНо отЛИЧНО оТлИЧнО отлиЧНо отЛИЧно ОТличНО отличНО оТлиЧНо ОТЛиЧнО отлИчНО ОТличнО ОТлично ОтлИЧно ОтЛиЧно оТлИЧнО оТлиЧНО оТлИчнО оТлИчно отличнО ОТЛиЧНО оТлиЧНО,3,5,6,2024,0,0,5,False,False,False,True,False,False,0.0,0.01,1.0,0.01,0.02
1,5,1,1,1,3,4,-2,"Доставлен быстрее чем ожидал, упакован очень качественно, впервые познакомился с этим брэндом и всё супер, подключил и установил виндовс, проблем не возникло, скорость чтения и записи 👍🔥, цена приятная Минусов не обнаружено Лучшее соотношение цена Качество , для ноутбука подошёл хорошо",22,29,12,2023,1,0,3,False,False,False,False,True,False,0.08,0.16,0.58,0.1,0.04
1,5,1,2,3,0,3,3,"Дешевый, нормальный внешний вид, гарантия 3 года Скорости записи Стандартный бюджетный безбуферный накопитель. Хорошо подходит для модернизации старого системного блока или ноутбука. Скорости в начале записи соответствуют заявленным, после заполнения SLC кэша сильно падают.",11,12,2,2024,0,0,3,False,False,False,False,True,False,0.69,0.19,0.06,0.1,0.0
0,4,1,1,0,0,0,0,"Низкая цена. Скорость работы. 3 года гарантии Может подвисать Стоял такой в ноутбуке полгода, пока работает. Прикупил ещё один. Почитал отзывы и пришел к выводу что высок процент брака. Мне пока повезло. Надеюсь и в дальнейшем он будет меня радовать своей работой.",15,26,2,2024,0,0,3,False,False,False,False,False,True,0.36,0.22,0.25,0.18,0.01
1,5,1,1,0,0,0,0,"цена нет ssd хорошего качества, Виндоус встала быстро,памяти хватает для пары програм.Скорость записи адекватная,а главное проверен бренд, за эти деньги хороший товар,а с учётом гарантии в год, вполне хороший выбор,советую людям, которые ещё пользуются hdd.",11,10,3,2024,0,0,3,False,False,False,False,True,False,0.18,0.17,0.23,0.13,0.02
1,5,1,1,0,0,0,0,"Цена, гарантия лотерея в плане живучести Я бы не советовал ставить такой диск как основной на компьютере где большие нагрузки и прочее только для устройств где редкое использование, гарантия 3 года радует, но в плане долгой работоспособности лотерея",8,4,2,2024,0,0,3,False,False,False,False,True,False,0.52,0.19,0.16,0.07,0.01
1,5,1,0,1,66,67,-65,"долгая работа ссд нет Конечно, вот длинный положительный отзыв:",14,20,1,2024,0,0,1,False,False,False,True,False,False,0.77,0.12,0.18,0.02,0.0
1,5,1,5,2,0,2,2,"Простое и надёжное устройство. Проверенный производитель. Долговечность. По скорости не ровня М2 на PCI express, но все равно достойное и качественное решение. Так как продукт популярный, его бывает что подделывают. Надо быть внимательным при покупке! К самому SSD и производителю вопросов быть не может. С M2 по скорости тягаться не может, но это в тоже время простое и надежное решение!",14,9,5,2024,0,2,4,False,False,False,False,True,False,0.63,0.21,0.13,0.09,0.01
1,5,1,5,12,2,14,10,"Кингстон - лучший вариант ssd диска из бюджетной линейки, по соотношению цена/качество Не нашел Сегодня получил свой долгожданный диск! Заказываю 2-й Кингстоновский. Правда первый брал у другого продавца, но с этим тоже должно быть все отлично! Только установил и надеюсь, что проработает у меня долго! Купил под хранение файлов на ноутбуке. Первый диск на 245 гб оставил под систему. Этот поставил через оптибэй вместо cd-рома на своем hp. Эти диски реально усиляют ноутбук! До установки ноут работал медленно, еле открывал программы. После установки - стал работать как современные ноутбуки, малой и средней ценовой категории. Быстро открываются программы и даже игры начал устанавливать. Отличный вариант, чтобы продлить жизнь своего ноутбука! Главное, чтобы он подходил под характеристики ноутбука и под разъем - обращайте внимание, проверяйте! Так же, советую устанавливать программы отслеживающие состояние диска, чтобы знать, когда у него выйдет ресурс и успеть к этому моменту скопировать все файлы на другой носитель. Но мой первый диск, на 245 гб., уже 2 года работает и все отлично. Виндовс только переустановил. В общем, товар отличный должен быть! Прислали, кстати, аккуратно упакованным, с мягкой подкладкой, в заводской упаковке и с гарантией. Спасибо!",21,7,5,2023,0,4,13,False,False,False,True,False,False,0.41,0.16,0.15,0.11,0.03
1,5,0,0,1,26,27,-25,"Клонирование и установка были на одном дыхании. Я использовал USB-адаптер, загрузил программное обеспечение Kingston , и оно нашло нужные диски, все, что мне нужно было сделать, это нажать кнопку «Пуск» и установить диск, когда клонирование было завершено. Этот диск очень быстрый (более 500 Мбит/с при чтении и записи) и дал новую жизнь моему 7-летнему компьютеру. Единственная проблема заключалась в том, что в инструкции был указан старый адрес для загрузки программного обеспечения. Нашел новую в поисковике. нет Я заменил неисправный SSD в своем ноутбуке на это устройство. Я не использовал предоставленное Kingston программное обеспечение для клонирования неисправного SSD (он еще не вышел из строя), а использовал бесплатный Macrium Reflect. Все разделы (4) на неисправном диске были скопированы/клонированы на диск Kingston с использованием внешнего корпуса USB3. Затем я заменил неисправный диск на Kingston , который загрузился без происшествий. Затем я использовал программное обеспечение , чтобы восстановить избыточное выделение ресурсов и запустить пару тестов. 870 определенно работал быстрее, чем старый диск, но вы не можете увидеть разницу в повседневном использовании. Если вам интересно, неисправный диск вел себя подозрительно, но прошел проверку программного обеспечения производителя. Затем я попробовал диагностику ноутбука, и диск быстро не прошел короткий тест.",4,3,3,2022,0,0,14,False,False,True,False,False,False,0.71,0.21,0.07,0.08,0.01
1,5,1,0,2,32,34,-30,"  Это отличный ссд. Корпус выглядел лучше, чем ожидалось, благодаря глянцевой рельефной поверхности. Это помогло малобюджетному настольному ПК 2010 года справиться с 64-разрядной версией Windows 10 Home, необходимой для постоянной работы устройства хранения данных. Жесткий диск со скоростью 55,1 МБ/с часто заполнял график диспетчера задач 100% активностью несколько раз в минуту. Когда машина простаивала и были активны фоновые процессы, она вела себя точно так же. Теперь твердотельный накопитель со скоростью 261,1 Мбит / с (на материнской плате Intel G41 SATA II) спокойно и бесшумно решает эти вопросы и сохраняет ранее высокий, сплошной зеленый график диспетчера задач внизу, время от времени с несколькими небольшими всплесками. Теперь компьютер стал гораздо более отзывчивым. Теперь он не пытается отчаянно справиться с раздутым кодом Microsoft и не мешает мне. Интерактивный поток с пользовательским интерфейсом был восстановлен. Отсрочка покупки ссд в ожидание падения цен на твердотельные накопители была хорошим шагом. Здорово видеть, как проводник файлов Windows 10 быстро создает миниатюры фотографий. Установка программного обеспечения также происходит намного быстрее. Обновления и сканирование на наличие вредоносных программ больше не являются большой проблемой. Я рад, что выбрал этот известный бренд.",6,1,12,2022,0,0,14,False,False,False,True,False,False,0.53,0.24,0.1,0.07,0.03
1,1,1,0,37,2,39,35,"То, что он хотя-бы как-то завёлся и заработал после распаковки Этот диск точно поддельный, сравнивали с имеющимся у меня оригинальным этой же модели,  цвет корпуса у оригинала гораздо светлее, чем у этого, круглая наклейка у этой подделки в отличие от оригинала не переливается, родная утилита Kingston SSD Manager любой версии его не видит, а мой оригинальный видит любая версия утилиты. CrystalDiskInfo показывает у этой подделки данные об объёме записанного или прочитанного после чтения или записи примерно в 30 раз больше реально записанного или прочитанного, на оригинале естественно она всё показывает правильно. Для проверки записали на этот поддельный диск данные с полным заполнением всего объёма и потом прочитали, сравнив с теми, откуда записывали, ошибок при сравнении  вроде не было, но это потому, что диск хотя и поддельный, но всё-же новый и ресурс его сразу так быстро не накроется.  Не известно через какое время этот поддельный диск сдохнет, если на него поставить систему и юзать его в нормальном режиме.... Обычно через полгода-год-полторы накрываются всякие такие подобия... Особенно удручает, что цена на диск была как и у нормального оригинала и подделку мало кто заподозрит.",16,25,10,2023,0,0,13,False,True,False,False,False,False,0.64,0.19,0.13,0.05,0.01
0,3,1,1,21,6,27,15,"Металлический корпус - надёжнее, экранирует электронику внутри, лучше рассеивает тепло. Скорость записи: 390 Мб/с первые 11Гб, потом падает до постоянных 64 Мб/с. Т.е. раза в три медленнее современного жёсткого диска, если записывать сразу большой объём. Больше 11Гб ), В момент исчерпания SLC кэша возникает несколько ""фризов"" подряд в работе накопителя. И периодически во время записи. По логу Victoria, за время записи 30Гб возникло 52 ""фриза"" более от 0,4 до 1,6 секунд каждый. 85Гб - 180. 180Гб - 430. Прошивка 03200001, контроллер Phison.",16,29,6,2023,0,0,6,True,False,False,False,False,False,0.93,0.16,0.02,0.08,0.0
0,5,1,0,0,1,1,-1,  ОТлИЧНО оТЛИчНО отЛИЧНО ОтличНО оТлиЧнО ОТлиЧНО оТличНо оТлИЧнО ОтЛично оТлИчНо ОтЛичнО ОтЛИчНо ОТЛичНО ОтлИчНО ОТЛИЧно отлИчНО оТЛиЧнО отлиЧНо ОТЛиЧНО ОТЛИЧНо отЛИчНО оТлИчнО ОтЛиЧНо ОтлиЧно ОтЛИЧнО отЛичНО ОтЛиЧНО отЛиЧнО ОтлИЧНо оТлиЧНо оТЛиЧнО ОТлиЧно ОтЛИЧно оТлИчно ОТЛиЧНО оТЛиЧНО ОТлИчно ОтлИЧНо отЛиЧно ОТлИЧНо ОТЛИЧнО ОТлИЧНО ОтлиЧнО отлИчНО отЛиЧНО отличНО отЛИчНО ОтЛиЧНО отЛИчно ОтличнО ОТЛиЧНО ОтлИЧНо отлИЧнО отлИЧно ОТлИЧнО ОТЛичНО оТЛиЧно отлИчНо ОТлИчно ОтЛИчНО оТлИЧно отЛИчНО оТлиЧНо ОТЛИЧНо ОтлИЧно ОТЛИЧНо ОтличНо оТлИчнО оТлИчНо оТлИЧНо отЛиЧНО ОТлиЧНо ОТЛИчНо ОтлИЧно ОтЛичНо оТлиЧнО ОтлИчно ОтЛИчНо отЛИчНо отЛИЧно ОТлИЧНо отлИЧно ОтЛиЧНо оТлиЧНО ОтличНо ОТлиЧНО ОтЛиЧнО ОТЛиЧНО оТЛично отличНО ОТЛИчнО отлиЧно ОТлИЧНо отЛИЧнО отлиЧнО ОтЛИЧНО ОтлИчНО отличнО отличНО Отлично ОТЛИЧНО оТЛиЧНо ОТлично отЛиЧНО оТЛично оТлиЧнО ОтЛичнО оТлИЧнО ОтлИЧно ОтЛичнО отЛИчнО ОтЛИчНо ОТЛиЧно отлично отличнО оТлиЧНо ОТличНо отЛиЧНО отлИчно отлиЧНО оТЛиЧНО оТличНО отлИЧНО оТлИЧНО ОтличнО оТЛИчНо ОтлИчНо ОтЛиЧНО ОТЛИЧно ОТЛиЧНо ОТЛИчНо оТлиЧно оТлиЧНО ОтЛично ОтЛИчНо ОТЛИЧнО,8,8,6,2024,0,0,11,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.03
0,5,1,0,0,4,4,-4,  ОтличНо ОтЛИчнО оТлИЧНО отЛиЧНо отлИчно ОТЛИчНо оТЛИЧНо оТлИчно ОТЛИчнО ОТлИчНО ОТЛично оТЛиЧнО отличнО ОТЛичнО отЛИЧно ОТличНо отлИчнО отЛИчнО отлиЧНо Отлично ОтЛИчНО ОтлИчнО ОтЛИчНО оТЛиЧНО отЛИчнО отлиЧНо отличНо ОТЛИчнО ОтлИчнО отлИчно ОТлИЧнО отЛИЧНО отЛИчнО оТЛИчно отЛИЧнО ОТлиЧно ОТЛИчнО оТЛиЧнО ОТлично ОтЛиЧНо оТЛИЧнО ОТЛично ОтЛИчнО отлИчнО оТлиЧнО ОтлИчнО оТлично оТлично ОтЛИчНо ОТлИчНО ОТЛичНо оТлИЧнО оТличНо отлИчнО ОтЛИЧНо оТЛИчно оТЛиЧНО оТлИчНО ОТЛИчнО ОТлИЧНО оТлиЧнО отЛИЧНО ОтЛИчНО отлИчнО отЛИчНо ОтлИЧнО оТлИЧНО ОТлИчнО оТЛИЧНо отлиЧно ОтличНо оТЛИЧно ОтлИЧно оТличНО оТлиЧНо отЛичНо ОТЛиЧНо отЛИЧНо ОТлиЧнО ОтЛИЧно оТлИЧно оТлиЧнО отличНо ОтЛИЧНО отлИЧнО ОтЛИчно оТЛИЧНо оТЛИчНО отлИчНО ОтЛИЧно оТЛичнО отлично Отлично ОТличНо ОТЛИчнО оТлиЧно ОТлиЧно ОтличнО отличНо оТлично оТличНо ОтЛиЧНо оТЛичнО ОтЛиЧНО отЛичНО отлИЧнО ОТлИчно ОтЛичНО ОтЛИчно ОтлИчнО отличнО ОТлИЧНо ОтлиЧно ОТЛИЧНо ОтлИчНо отличНо ОТлиЧнО отЛичНО оТличнО ОТлИчНо оТлИчнО отЛичНо оТЛиЧно ОтличНО ОтЛиЧНо ОТлИЧНО отЛИчНо отлИЧНо отличНО оТлИчно ОтличНо ОтлИЧНо отЛично отЛичНО,8,8,6,2024,0,0,11,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.03
0,5,1,0,0,1,1,-1,  отЛичНО ОТЛичНО ОТлИчНо ОтЛиЧно отЛичНо Отлично отЛичНо оТЛиЧнО ОТЛичНО оТЛиЧНо ОТлИЧнО отлИЧНО отлИЧНо оТлИЧНо оТлиЧНо отличНО ОтЛиЧНО ОтлИчНО ОтЛИЧНО отЛИЧНО ОтЛиЧНо ОТЛИЧно оТЛИчно отлиЧНО отЛичнО оТлИЧНО ОтЛИЧНО отлИЧно отЛИЧНо отЛиЧнО отлиЧно ОТлИЧнО ОтлИчНО отлиЧНо ОтЛИчно ОтличНО оТлично ОТЛичНО ОтЛичНО ОтлИЧНо отЛиЧНО отЛичнО ОТЛИчно ОтлиЧНО отЛИчнО отлиЧно отЛИЧНо оТЛичнО ОтЛИЧно ОТлично оТлИчНо ОТлИЧнО оТлИЧно ОтЛичнО ОтлИЧНо отЛИЧно ОтЛИЧнО отлИЧно отлИЧНо ОТлиЧНо отлИЧнО оТлично ОтличНо оТЛиЧНо ОТлИчНо отлиЧНО ОтЛИЧно отЛичНо ОтлИЧНО отЛиЧНо ОТлиЧно отЛиЧно ОТЛИчно ОтЛИЧНо ОТлИЧно ОтЛИчно отЛиЧно ОТлИЧно ОТлиЧно ОтЛичнО ОтЛИчНо ОТлично отЛичНО оТЛичНо отЛИЧно ОТлИЧНО ОТлИЧНо отлИчнО отЛичНо оТЛиЧно оТЛИЧнО ОТЛично отЛиЧНо отлИчНО оТлиЧНо отЛИчНо оТлиЧнО ОТлиЧно отлИЧнО оТлиЧНО оТлИЧно оТЛичнО ОтЛично отлиЧнО отлично ОтличнО отлИчНо ОТЛИчНо отЛИЧно отлиЧНо отлиЧнО ОТлИЧно ОТличНО отлиЧнО оТлИчно ОТЛИЧно оТлиЧНо ОТЛичНо ОТлиЧНо ОТЛиЧно отлИчнО ОтЛиЧно оТЛИЧНО отлИЧно ОтЛично ОТлИчнО ОтЛИЧнО ОТлИчнО ОТЛИЧнО отличНО,8,8,6,2024,0,0,11,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.03
0,5,1,0,0,1,1,-1,  ОтЛИЧно оТЛично ОТлИчнО ОТлиЧно ОТЛИчнО отЛиЧно отЛичнО ОТЛиЧНО оТлиЧНО ОТлиЧНО оТлиЧНО оТЛиЧно отлИЧнО отЛиЧНО отЛИчНО отлИчНо ОТлиЧно ОтЛИчнО отличНО отЛичнО отлИчно ОТЛично ОтлиЧнО ОтЛично ОТличНо отЛИчнО оТличНО ОТлиЧНо отлИчно ОТлИчНо отлИчно ОТЛИчно ОтЛИЧНо ОТличНо ОТлиЧНО ОТЛИчНО отличНО ОтлиЧНо ОтлИчно оТлИчНо ОтЛиЧНо ОТлИчНо оТлИЧно отлиЧнО ОТлИчНо оТЛИЧНо ОТЛИЧно ОтлИЧнО ОТлИчнО отличНо ОТЛИЧнО оТЛИЧно оТлИЧнО ОтЛИчно оТлично оТличНО отлИЧНО ОтЛиЧно оТлично отличНо отЛиЧно оТличНО ОтлИчнО оТЛИчНо ОтЛИЧНо ОтлИчнО отЛИЧНО ОтЛичНо ОТлИчНО оТЛИчНо ОтличНО ОТлиЧнО ОТлИЧНо отЛИчНО ОТЛиЧНо отЛиЧНо ОТЛИЧНо ОтлИчнО ОТличНО оТЛИЧно ОтлИЧНо ОтличНО оТЛиЧно оТлИчно Отлично ОтлИчно ОТлиЧНо оТЛИЧНо отлИчНо оТлИЧнО оТЛИЧнО ОТЛИЧно отличНо ОТлИчНО ОтЛИчно ОТЛиЧНо оТЛИЧно ОтлиЧНО ОТлИЧНО ОТЛично ОТлИчНо ОтличНо ОтлИчно ОТЛИчнО оТличНО ОтлиЧно отЛИЧНО ОТЛИчнО отЛИчнО ОтлиЧнО отлиЧно ОТлИчнО ОтлиЧно ОтЛичнО ОтЛичНо отЛиЧнО ОТЛично ОТличНо оТлИЧНО оТлИчнО ОТлИЧНо ОтлИчНо ОТлиЧно отЛиЧно ОтЛИЧНО оТлиЧно ОТлИчно отЛИЧнО оТлИЧнО,8,8,6,2024,0,0,11,False,False,False,True,False,False,0.0,0.02,1.0,0.01,0.03
1,5,1,1,6,1,7,5,"Бренд, цена с учетом бонусов и скидок пока не обнаружил Выбирал по старой памяти из подборки более-менее известных производителей. Изначально склонялся к покупке 256gb но с учетом неожиданно прилетевшего промокода на 800р, емкость 512gb стала очень даже доступна. Перенос системы с моего Plextor 128gb занял всего 10-15 минут, дольше вскрывал системник и подключал шлейфы. После переноса комп сразу заработал, без каких либо глюков, что сильно порадовало. Скорость ssd заявленная в описании конечно хороша и тест со случайными блоками неплохо его подтвердил (фотки специально скидывать не буду, так как у всех разная начинка, контроллеры и драйвера), но и субъективное мое впечатление осталось хорошим. Доставка хоть и задержалась по срокам, но пришла за неделю. Упакован диск был в блистер, рамки для установки в ПК нет, ну и ладно. Вывод: покупка за 2500 (с учетом промокода) по цене ssd 256gb выглядит вполне себе даже ничего.",8,27,9,2022,0,0,10,False,True,False,False,False,False,0.5,0.26,0.12,0.09,0.02
